V ,leafValue( IS("/Q6/C") "N" 1 ) (A),leafValue( IS("/Q6/C") "N" 2 ) (A),leafValue( IS("/Q6/C") "N" 3 ) (A),leafValue( IS("/Q6/C") "N" 4 ) (A),leafValue( IS("/Q6/C") "N" 5 ) (A),leafValue( IS("/Q6/C") "N" 6 ) (A),leafValue( IS("/Q6/C") "N" 7 ) (A),leafValue( IS("/Q6/C") "N" 8 ) (A),leafValue( IS("/Q6/C") "N" 9 ) (A),leafValue( IS("/Q6/C") "N" 10 ) (A),leafValue( IS("/Q6/C") "N" 11 ) (A),leafValue( IS("/Q6/C") "N" 12 ) (A),leafValue( IS("/Q6/C") "N" 13 ) (A),leafValue( IS("/Q6/C") "N" 14 ) (A),leafValue( IS("/Q6/C") "N" 15 ) (A),leafValue( IS("/Q6/C") "N" 16 ) (A),leafValue( IS("/Q6/C") "N" 17 ) (A),leafValue( IS("/Q6/C") "N" 18 ) (A),leafValue( IS("/Q6/C") "N" 19 ) (A),leafValue( IS("/Q6/C") "N" 20 ) (A),leafValue( IS("/Q6/B") "N" 1 ) (A),leafValue( IS("/Q6/B") "N" 2 ) (A),leafValue( IS("/Q6/B") "N" 3 ) (A),leafValue( IS("/Q6/B") "N" 4 ) (A),leafValue( IS("/Q6/B") "N" 5 ) (A),leafValue( IS("/Q6/B") "N" 6 ) (A),leafValue( IS("/Q6/B") "N" 7 ) (A),leafValue( IS("/Q6/B") "N" 8 ) (A),leafValue( IS("/Q6/B") "N" 9 ) (A),leafValue( IS("/Q6/B") "N" 10 ) (A),leafValue( IS("/Q6/B") "N" 11 ) (A),leafValue( IS("/Q6/B") "N" 12 ) (A),leafValue( IS("/Q6/B") "N" 13 ) (A),leafValue( IS("/Q6/B") "N" 14 ) (A),leafValue( IS("/Q6/B") "N" 15 ) (A),leafValue( IS("/Q6/B") "N" 16 ) (A),leafValue( IS("/Q6/B") "N" 17 ) (A),leafValue( IS("/Q6/B") "N" 18 ) (A),leafValue( IS("/Q6/B") "N" 19 ) (A),leafValue( IS("/Q6/B") "N" 20 ) (A)
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
5.00000E-3,1.19616E-18,2.39232E-18,3.58848E-18,4.78464E-18,5.98080E-18,7.17696E-18,8.37312E-18,9.56928E-18,10.7654E-18,11.9616E-18,13.1578E-18,14.3539E-18,15.5501E-18,16.7462E-18,17.9424E-18,19.1386E-18,20.3347E-18,21.5309E-18,22.7270E-18,23.9232E-18,5.02704E-15,5.05409E-15,5.08113E-15,5.10818E-15,5.13522E-15,5.16227E-15,5.18931E-15,5.21636E-15,5.24340E-15,5.27044E-15,5.29749E-15,5.32453E-15,5.35158E-15,5.37862E-15,5.40567E-15,5.43271E-15,5.45975E-15,5.48680E-15,5.51384E-15,5.54089E-15
10.0000E-3,2.63534E-18,5.27067E-18,7.90600E-18,10.5413E-18,13.1767E-18,15.8120E-18,18.4473E-18,21.0827E-18,23.7180E-18,26.3533E-18,28.9887E-18,31.6240E-18,34.2594E-18,36.8947E-18,39.5300E-18,42.1654E-18,44.8007E-18,47.4360E-18,50.0714E-18,52.7067E-18,10.0563E-15,10.1125E-15,10.1688E-15,10.2251E-15,10.2813E-15,10.3376E-15,10.3938E-15,10.4501E-15,10.5064E-15,10.5626E-15,10.6189E-15,10.6752E-15,10.7314E-15,10.7877E-15,10.8439E-15,10.9002E-15,10.9565E-15,11.0127E-15,11.0690E-15,11.1253E-15
15.0000E-3,4.36794E-18,8.73587E-18,13.1038E-18,17.4717E-18,21.8397E-18,26.2076E-18,30.5756E-18,34.9435E-18,39.3114E-18,43.6794E-18,48.0473E-18,52.4152E-18,56.7832E-18,61.1511E-18,65.5191E-18,69.8870E-18,74.2549E-18,78.6229E-18,82.9908E-18,87.3587E-18,15.0878E-15,15.1757E-15,15.2635E-15,15.3513E-15,15.4392E-15,15.5270E-15,15.6148E-15,15.7026E-15,15.7905E-15,15.8783E-15,15.9661E-15,16.0540E-15,16.1418E-15,16.2296E-15,16.3175E-15,16.4053E-15,16.4931E-15,16.5810E-15,16.6688E-15,16.7566E-15
20.0000E-3,6.45483E-18,12.9097E-18,19.3645E-18,25.8193E-18,32.2742E-18,38.7290E-18,45.1838E-18,51.6386E-18,58.0935E-18,64.5483E-18,71.0031E-18,77.4580E-18,83.9128E-18,90.3676E-18,96.8225E-18,103.277E-18,109.732E-18,116.187E-18,122.642E-18,129.097E-18,20.1219E-15,20.2439E-15,20.3658E-15,20.4877E-15,20.6097E-15,20.7316E-15,20.8536E-15,20.9755E-15,21.0974E-15,21.2194E-15,21.3413E-15,21.4632E-15,21.5852E-15,21.7071E-15,21.8291E-15,21.9510E-15,22.0729E-15,22.1949E-15,22.3168E-15,22.4387E-15
25.0000E-3,8.96950E-18,17.9390E-18,26.9085E-18,35.8780E-18,44.8475E-18,53.8170E-18,62.7865E-18,71.7560E-18,80.7255E-18,89.6950E-18,98.6644E-18,107.634E-18,116.603E-18,125.573E-18,134.542E-18,143.512E-18,152.481E-18,161.451E-18,170.420E-18,179.390E-18,25.1588E-15,25.3176E-15,25.4764E-15,25.6351E-15,25.7939E-15,25.9527E-15,26.1115E-15,26.2703E-15,26.4291E-15,26.5879E-15,26.7466E-15,26.9054E-15,27.0642E-15,27.2230E-15,27.3818E-15,27.5406E-15,27.6993E-15,27.8581E-15,28.0169E-15,28.1757E-15
30.0000E-3,12.0006E-18,24.0013E-18,36.0019E-18,48.0025E-18,60.0032E-18,72.0038E-18,84.0045E-18,96.0051E-18,108.006E-18,120.006E-18,132.007E-18,144.008E-18,156.008E-18,168.009E-18,180.010E-18,192.010E-18,204.011E-18,216.011E-18,228.012E-18,240.013E-18,30.1986E-15,30.3972E-15,30.5958E-15,30.7944E-15,30.9930E-15,31.1916E-15,31.3902E-15,31.5888E-15,31.7874E-15,31.9860E-15,32.1846E-15,32.3832E-15,32.5817E-15,32.7803E-15,32.9789E-15,33.1775E-15,33.3761E-15,33.5747E-15,33.7733E-15,33.9719E-15
35.0000E-3,15.6553E-18,31.3107E-18,46.9660E-18,62.6214E-18,78.2767E-18,93.9320E-18,109.587E-18,125.243E-18,140.898E-18,156.553E-18,172.209E-18,187.864E-18,203.519E-18,219.175E-18,234.830E-18,250.485E-18,266.141E-18,281.796E-18,297.451E-18,313.107E-18,35.2416E-15,35.4832E-15,35.7248E-15,35.9664E-15,36.2080E-15,36.4496E-15,36.6913E-15,36.9329E-15,37.1745E-15,37.4161E-15,37.6577E-15,37.8993E-15,38.1409E-15,38.3825E-15,38.6241E-15,38.8657E-15,39.1073E-15,39.3489E-15,39.5905E-15,39.8322E-15
40.0000E-3,20.0629E-18,40.1258E-18,60.1886E-18,80.2515E-18,100.314E-18,120.377E-18,140.440E-18,160.503E-18,180.566E-18,200.629E-18,220.692E-18,240.754E-18,260.817E-18,280.880E-18,300.943E-18,321.006E-18,341.069E-18,361.132E-18,381.195E-18,401.257E-18,40.2881E-15,40.5762E-15,40.8642E-15,41.1523E-15,41.4404E-15,41.7285E-15,42.0165E-15,42.3046E-15,42.5927E-15,42.8808E-15,43.1689E-15,43.4569E-15,43.7450E-15,44.0331E-15,44.3212E-15,44.6092E-15,44.8973E-15,45.1854E-15,45.4735E-15,45.7616E-15
45.0000E-3,25.3793E-18,50.7586E-18,76.1379E-18,101.517E-18,126.896E-18,152.276E-18,177.655E-18,203.034E-18,228.414E-18,253.793E-18,279.172E-18,304.551E-18,329.931E-18,355.310E-18,380.689E-18,406.069E-18,431.448E-18,456.827E-18,482.206E-18,507.586E-18,45.3383E-15,45.6766E-15,46.0149E-15,46.3531E-15,46.6914E-15,47.0297E-15,47.3680E-15,47.7063E-15,48.0446E-15,48.3828E-15,48.7211E-15,49.0594E-15,49.3977E-15,49.7360E-15,50.0743E-15,50.4125E-15,50.7508E-15,51.0891E-15,51.4274E-15,51.7657E-15
