V ,leafValue( IS("/Q6/C") "N" 1 ) (A),leafValue( IS("/Q6/C") "N" 2 ) (A),leafValue( IS("/Q6/C") "N" 3 ) (A),leafValue( IS("/Q6/C") "N" 4 ) (A),leafValue( IS("/Q6/C") "N" 5 ) (A),leafValue( IS("/Q6/C") "N" 6 ) (A),leafValue( IS("/Q6/C") "N" 7 ) (A),leafValue( IS("/Q6/C") "N" 8 ) (A),leafValue( IS("/Q6/C") "N" 9 ) (A),leafValue( IS("/Q6/C") "N" 10 ) (A),leafValue( IS("/Q6/C") "N" 11 ) (A),leafValue( IS("/Q6/C") "N" 12 ) (A),leafValue( IS("/Q6/C") "N" 13 ) (A),leafValue( IS("/Q6/C") "N" 14 ) (A),leafValue( IS("/Q6/C") "N" 15 ) (A),leafValue( IS("/Q6/C") "N" 16 ) (A),leafValue( IS("/Q6/C") "N" 17 ) (A),leafValue( IS("/Q6/C") "N" 18 ) (A),leafValue( IS("/Q6/C") "N" 19 ) (A),leafValue( IS("/Q6/C") "N" 20 ) (A),leafValue( IS("/Q6/B") "N" 1 ) (A),leafValue( IS("/Q6/B") "N" 2 ) (A),leafValue( IS("/Q6/B") "N" 3 ) (A),leafValue( IS("/Q6/B") "N" 4 ) (A),leafValue( IS("/Q6/B") "N" 5 ) (A),leafValue( IS("/Q6/B") "N" 6 ) (A),leafValue( IS("/Q6/B") "N" 7 ) (A),leafValue( IS("/Q6/B") "N" 8 ) (A),leafValue( IS("/Q6/B") "N" 9 ) (A),leafValue( IS("/Q6/B") "N" 10 ) (A),leafValue( IS("/Q6/B") "N" 11 ) (A),leafValue( IS("/Q6/B") "N" 12 ) (A),leafValue( IS("/Q6/B") "N" 13 ) (A),leafValue( IS("/Q6/B") "N" 14 ) (A),leafValue( IS("/Q6/B") "N" 15 ) (A),leafValue( IS("/Q6/B") "N" 16 ) (A),leafValue( IS("/Q6/B") "N" 17 ) (A),leafValue( IS("/Q6/B") "N" 18 ) (A),leafValue( IS("/Q6/B") "N" 19 ) (A),leafValue( IS("/Q6/B") "N" 20 ) (A)
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
20.0000E-3,6.45483E-18,12.9097E-18,19.3645E-18,25.8193E-18,32.2742E-18,38.7290E-18,45.1838E-18,51.6386E-18,58.0935E-18,64.5483E-18,71.0031E-18,77.4580E-18,83.9128E-18,90.3676E-18,96.8225E-18,103.277E-18,109.732E-18,116.187E-18,122.642E-18,129.097E-18,20.1219E-15,20.2439E-15,20.3658E-15,20.4877E-15,20.6097E-15,20.7316E-15,20.8536E-15,20.9755E-15,21.0974E-15,21.2194E-15,21.3413E-15,21.4632E-15,21.5852E-15,21.7071E-15,21.8291E-15,21.9510E-15,22.0729E-15,22.1949E-15,22.3168E-15,22.4387E-15
40.0000E-3,20.0629E-18,40.1258E-18,60.1886E-18,80.2515E-18,100.314E-18,120.377E-18,140.440E-18,160.503E-18,180.566E-18,200.629E-18,220.692E-18,240.754E-18,260.817E-18,280.880E-18,300.943E-18,321.006E-18,341.069E-18,361.132E-18,381.195E-18,401.257E-18,40.2881E-15,40.5762E-15,40.8642E-15,41.1523E-15,41.4404E-15,41.7285E-15,42.0165E-15,42.3046E-15,42.5927E-15,42.8808E-15,43.1689E-15,43.4569E-15,43.7450E-15,44.0331E-15,44.3212E-15,44.6092E-15,44.8973E-15,45.1854E-15,45.4735E-15,45.7616E-15
60.0000E-3,48.8686E-18,97.7371E-18,146.606E-18,195.474E-18,244.343E-18,293.211E-18,342.080E-18,390.948E-18,439.817E-18,488.686E-18,537.554E-18,586.423E-18,635.291E-18,684.160E-18,733.028E-18,781.897E-18,830.766E-18,879.634E-18,928.503E-18,977.371E-18,60.5144E-15,61.0289E-15,61.5433E-15,62.0578E-15,62.5722E-15,63.0867E-15,63.6011E-15,64.1156E-15,64.6300E-15,65.1445E-15,65.6589E-15,66.1734E-15,66.6878E-15,67.2023E-15,67.7167E-15,68.2312E-15,68.7456E-15,69.2601E-15,69.7745E-15,70.2890E-15
80.0000E-3,109.950E-18,219.900E-18,329.851E-18,439.801E-18,549.751E-18,659.701E-18,769.652E-18,879.602E-18,989.552E-18,1.09950E-15,1.20945E-15,1.31940E-15,1.42935E-15,1.53930E-15,1.64925E-15,1.75920E-15,1.86915E-15,1.97910E-15,2.08905E-15,2.19900E-15,80.8229E-15,81.6458E-15,82.4687E-15,83.2916E-15,84.1145E-15,84.9374E-15,85.7603E-15,86.5831E-15,87.4060E-15,88.2289E-15,89.0518E-15,89.8747E-15,90.6976E-15,91.5205E-15,92.3434E-15,93.1663E-15,93.9892E-15,94.8121E-15,95.6350E-15,96.4579E-15
100.000E-3,239.550E-18,479.100E-18,718.650E-18,958.199E-18,1.19775E-15,1.43730E-15,1.67685E-15,1.91640E-15,2.15595E-15,2.39550E-15,2.63505E-15,2.87460E-15,3.11415E-15,3.35370E-15,3.59325E-15,3.83280E-15,4.07235E-15,4.31190E-15,4.55145E-15,4.79100E-15,101.243E-15,102.486E-15,103.730E-15,104.973E-15,106.216E-15,107.459E-15,108.702E-15,109.945E-15,111.189E-15,112.432E-15,113.675E-15,114.918E-15,116.161E-15,117.405E-15,118.648E-15,119.891E-15,121.134E-15,122.377E-15,123.620E-15,124.864E-15
120.000E-3,514.542E-18,1.02908E-15,1.54363E-15,2.05817E-15,2.57271E-15,3.08725E-15,3.60179E-15,4.11634E-15,4.63088E-15,5.14542E-15,5.65996E-15,6.17451E-15,6.68905E-15,7.20359E-15,7.71813E-15,8.23267E-15,8.74722E-15,9.26176E-15,9.77630E-15,10.2908E-15,121.816E-15,123.632E-15,125.448E-15,127.264E-15,129.079E-15,130.895E-15,132.711E-15,134.527E-15,136.343E-15,138.159E-15,139.975E-15,141.791E-15,143.607E-15,145.422E-15,147.238E-15,149.054E-15,150.870E-15,152.686E-15,154.502E-15,156.318E-15
140.000E-3,1.09791E-15,2.19583E-15,3.29374E-15,4.39166E-15,5.48957E-15,6.58749E-15,7.68540E-15,8.78332E-15,9.88123E-15,10.9791E-15,12.0771E-15,13.1750E-15,14.2729E-15,15.3708E-15,16.4687E-15,17.5666E-15,18.6645E-15,19.7625E-15,20.8604E-15,21.9583E-15,142.596E-15,145.193E-15,147.789E-15,150.385E-15,152.982E-15,155.578E-15,158.175E-15,160.771E-15,163.367E-15,165.964E-15,168.560E-15,171.156E-15,173.753E-15,176.349E-15,178.945E-15,181.542E-15,184.138E-15,186.735E-15,189.331E-15,191.927E-15
160.000E-3,2.33506E-15,4.67012E-15,7.00518E-15,9.34024E-15,11.6753E-15,14.0104E-15,16.3454E-15,18.6805E-15,21.0155E-15,23.3506E-15,25.6857E-15,28.0207E-15,30.3558E-15,32.6909E-15,35.0259E-15,37.3610E-15,39.6960E-15,42.0311E-15,44.3662E-15,46.7012E-15,163.660E-15,167.320E-15,170.980E-15,174.640E-15,178.301E-15,181.961E-15,185.621E-15,189.281E-15,192.941E-15,196.601E-15,200.261E-15,203.921E-15,207.581E-15,211.241E-15,214.902E-15,218.562E-15,222.222E-15,225.882E-15,229.542E-15,233.202E-15
180.000E-3,4.95755E-15,9.91510E-15,14.8726E-15,19.8302E-15,24.7877E-15,29.7453E-15,34.7028E-15,39.6604E-15,44.6179E-15,49.5755E-15,54.5330E-15,59.4906E-15,64.4481E-15,69.4057E-15,74.3632E-15,79.3208E-15,84.2783E-15,89.2359E-15,94.1934E-15,99.1510E-15,185.110E-15,190.220E-15,195.331E-15,200.441E-15,205.551E-15,210.661E-15,215.771E-15,220.882E-15,225.992E-15,231.102E-15,236.212E-15,241.322E-15,246.433E-15,251.543E-15,256.653E-15,261.763E-15,266.873E-15,271.984E-15,277.094E-15,282.204E-15
