freq (Hz),leafValue( getData("out" ?result "noise") "N" 1 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 2 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 3 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 4 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 5 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 6 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 7 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 8 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 9 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 10 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 11 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 12 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 13 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 14 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 15 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 16 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 17 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 18 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 19 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "N" 20 ) (A / sqrt(Hz))
1.00000,4.58355E-9,2.02905E-9,1.13375E-9,657.777E-12,329.916E-12,187.983E-12,122.558E-12,91.1049E-12,75.2319E-12,66.2356E-12,60.3847E-12,56.1768E-12,52.9533E-12,50.3818E-12,48.2723E-12,46.5054E-12,45.0015E-12,43.7042E-12,42.5729E-12,41.5769E-12
1.02329,4.53108E-9,2.00582E-9,1.12078E-9,650.287E-12,326.205E-12,185.922E-12,121.267E-12,90.1937E-12,74.5186E-12,65.6390E-12,59.8664E-12,55.7166E-12,52.5385E-12,50.0039E-12,47.9251E-12,46.1843E-12,44.7028E-12,43.4250E-12,42.3108E-12,41.3299E-12
1.04713,4.47921E-9,1.98287E-9,1.10797E-9,642.883E-12,322.537E-12,183.885E-12,119.993E-12,89.2942E-12,73.8150E-12,65.0506E-12,59.3557E-12,55.2631E-12,52.1300E-12,49.6319E-12,47.5834E-12,45.8683E-12,44.4089E-12,43.1504E-12,42.0530E-12,41.0871E-12
1.07152,4.42794E-9,1.96017E-9,1.09530E-9,635.564E-12,318.912E-12,181.872E-12,118.734E-12,88.4063E-12,73.1208E-12,64.4704E-12,58.8522E-12,54.8164E-12,51.7276E-12,49.2656E-12,47.2471E-12,45.5574E-12,44.1198E-12,42.8803E-12,41.7996E-12,40.8484E-12
1.09648,4.37726E-9,1.93774E-9,1.08278E-9,628.330E-12,315.329E-12,179.883E-12,117.491E-12,87.5300E-12,72.4360E-12,63.8984E-12,58.3560E-12,54.3763E-12,51.3314E-12,48.9049E-12,46.9161E-12,45.2515E-12,43.8355E-12,42.6147E-12,41.5505E-12,40.6139E-12
1.12202,4.32715E-9,1.91556E-9,1.07040E-9,621.178E-12,311.788E-12,177.919E-12,116.263E-12,86.6650E-12,71.7605E-12,63.3344E-12,57.8670E-12,53.9427E-12,50.9412E-12,48.5499E-12,46.5904E-12,44.9506E-12,43.5558E-12,42.3535E-12,41.3055E-12,40.3833E-12
1.14815,4.27762E-9,1.89364E-9,1.05817E-9,614.110E-12,308.288E-12,175.977E-12,115.051E-12,85.8113E-12,71.0941E-12,62.7783E-12,57.3851E-12,53.5156E-12,50.5570E-12,48.2005E-12,46.2698E-12,44.6546E-12,43.2808E-12,42.0968E-12,41.0648E-12,40.1567E-12
1.17490,4.22865E-9,1.87197E-9,1.04607E-9,607.122E-12,304.829E-12,174.060E-12,113.853E-12,84.9688E-12,70.4368E-12,62.2301E-12,56.9103E-12,53.0949E-12,50.1787E-12,47.8565E-12,45.9544E-12,44.3633E-12,43.0103E-12,41.8443E-12,40.8281E-12,39.9340E-12
1.20226,4.18025E-9,1.85054E-9,1.03411E-9,600.215E-12,301.410E-12,172.165E-12,112.671E-12,84.1372E-12,69.7885E-12,61.6897E-12,56.4424E-12,52.6805E-12,49.8062E-12,47.5180E-12,45.6441E-12,44.0769E-12,42.7444E-12,41.5961E-12,40.5956E-12,39.7152E-12
1.23027,4.13240E-9,1.82937E-9,1.02229E-9,593.388E-12,298.031E-12,170.292E-12,111.504E-12,83.3166E-12,69.1491E-12,61.1569E-12,55.9813E-12,52.2724E-12,49.4395E-12,47.1848E-12,45.3388E-12,43.7951E-12,42.4828E-12,41.3522E-12,40.3670E-12,39.5002E-12
