freq (Hz),output noise; A / sqrt(Hz) a 1 N 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 3  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 4  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 6  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 7  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 8  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 9  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 10  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 11  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 12  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 13  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 14  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 15  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 16  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 17  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 18  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 19  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 20  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 3  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 4  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 6  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 7  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 8  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 9  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 10  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 11  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 12  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 13  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 14  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 15  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 16  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 17  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 18  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 19  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 20  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 3  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 4  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 6  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 7  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 8  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 9  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 10  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 11  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 12  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 13  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 14  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 15  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 16  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 17  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 18  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 19  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 20  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 3  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 4  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 6  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 7  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 8  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 9  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 10  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 11  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 12  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 13  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 14  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 15  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 16  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 17  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 18  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 19  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 20  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 3  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 4  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 6  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 7  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 8  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 9  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 10  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 11  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 12  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 13  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 14  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 15  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 16  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 17  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 18  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 19  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 20  (A / sqrt(Hz))
1.00000,4.58355E-9,2.02905E-9,1.13375E-9,657.777E-12,329.916E-12,187.983E-12,122.558E-12,91.1049E-12,75.2319E-12,66.2356E-12,60.3847E-12,56.1768E-12,52.9533E-12,50.3818E-12,48.2723E-12,46.5054E-12,45.0015E-12,43.7042E-12,42.5729E-12,41.5769E-12,6.98029E-9,3.82002E-9,2.47310E-9,1.46213E-9,749.447E-12,429.329E-12,278.617E-12,205.319E-12,168.110E-12,146.895E-12,132.975E-12,122.859E-12,115.025E-12,108.712E-12,103.483E-12,99.0660E-12,95.2774E-12,91.9872E-12,89.1002E-12,86.5448E-12,8.89033E-9,5.53121E-9,3.98539E-9,2.36863E-9,1.23652E-9,713.957E-12,464.194E-12,341.758E-12,279.279E-12,243.447E-12,219.785E-12,202.480E-12,189.002E-12,178.082E-12,168.997E-12,161.289E-12,154.653E-12,148.870E-12,143.780E-12,139.261E-12,10.5161E-9,7.15594E-9,5.62155E-9,3.33749E-9,1.77110E-9,1.03110E-9,672.816E-12,496.005E-12,405.353E-12,353.085E-12,318.385E-12,292.889E-12,272.954E-12,256.748E-12,243.223E-12,231.720E-12,221.791E-12,213.119E-12,205.471E-12,198.669E-12,11.9496E-9,8.70188E-9,7.34947E-9,4.34415E-9,2.34016E-9,1.37358E-9,900.123E-12,665.062E-12,544.012E-12,473.867E-12,427.081E-12,392.576E-12,365.513E-12,343.457E-12,325.009E-12,309.288E-12,295.695E-12,283.805E-12,273.303E-12,263.950E-12
1.02329,4.53108E-9,2.00582E-9,1.12078E-9,650.287E-12,326.205E-12,185.922E-12,121.267E-12,90.1937E-12,74.5186E-12,65.6390E-12,59.8664E-12,55.7166E-12,52.5385E-12,50.0039E-12,47.9251E-12,46.1843E-12,44.7028E-12,43.4250E-12,42.3108E-12,41.3299E-12,6.90039E-9,3.77630E-9,2.44481E-9,1.44545E-9,740.963E-12,424.542E-12,275.582E-12,203.148E-12,166.386E-12,145.432E-12,131.689E-12,121.703E-12,113.972E-12,107.743E-12,102.585E-12,98.2287E-12,94.4926E-12,91.2484E-12,88.4023E-12,85.8833E-12,8.78856E-9,5.46791E-9,3.93980E-9,2.34159E-9,1.22248E-9,705.941E-12,459.069E-12,338.061E-12,276.323E-12,240.924E-12,217.553E-12,200.465E-12,187.158E-12,176.379E-12,167.412E-12,159.806E-12,153.258E-12,147.553E-12,142.532E-12,138.075E-12,10.3958E-9,7.07403E-9,5.55724E-9,3.29937E-9,1.75096E-9,1.01948E-9,665.331E-12,490.574E-12,400.988E-12,349.344E-12,315.065E-12,289.883E-12,270.196E-12,254.194E-12,240.842E-12,229.486E-12,219.686E-12,211.128E-12,203.580E-12,196.869E-12,11.8128E-9,8.60228E-9,7.26538E-9,4.29452E-9,2.31353E-9,1.35806E-9,890.060E-12,657.724E-12,538.091E-12,468.777E-12,422.553E-12,388.467E-12,361.737E-12,339.955E-12,321.739E-12,306.216E-12,292.796E-12,281.058E-12,270.692E-12,261.461E-12
1.04713,4.47921E-9,1.98287E-9,1.10797E-9,642.883E-12,322.537E-12,183.885E-12,119.993E-12,89.2942E-12,73.8150E-12,65.0506E-12,59.3557E-12,55.2631E-12,52.1300E-12,49.6319E-12,47.5834E-12,45.8683E-12,44.4089E-12,43.1504E-12,42.0530E-12,41.0871E-12,6.82141E-9,3.73308E-9,2.41685E-9,1.42896E-9,732.576E-12,419.811E-12,272.584E-12,201.003E-12,164.684E-12,143.989E-12,130.419E-12,120.563E-12,112.934E-12,106.788E-12,101.700E-12,97.4035E-12,93.7193E-12,90.5207E-12,87.7148E-12,85.2319E-12,8.68796E-9,5.40532E-9,3.89473E-9,2.31486E-9,1.20860E-9,698.018E-12,454.004E-12,334.410E-12,273.403E-12,238.432E-12,215.350E-12,198.476E-12,185.338E-12,174.698E-12,165.848E-12,158.343E-12,151.882E-12,146.254E-12,141.301E-12,136.905E-12,10.2768E-9,6.99307E-9,5.49366E-9,3.26169E-9,1.73106E-9,1.00799E-9,657.934E-12,485.208E-12,396.676E-12,345.649E-12,311.787E-12,286.915E-12,267.474E-12,251.674E-12,238.492E-12,227.282E-12,217.609E-12,209.163E-12,201.716E-12,195.094E-12,11.6776E-9,8.50382E-9,7.18225E-9,4.24546E-9,2.28720E-9,1.34272E-9,880.116E-12,650.472E-12,532.240E-12,463.749E-12,418.081E-12,384.410E-12,358.009E-12,336.498E-12,318.510E-12,303.184E-12,289.935E-12,278.348E-12,268.116E-12,259.006E-12
1.07152,4.42794E-9,1.96017E-9,1.09530E-9,635.564E-12,318.912E-12,181.872E-12,118.734E-12,88.4063E-12,73.1208E-12,64.4704E-12,58.8522E-12,54.8164E-12,51.7276E-12,49.2656E-12,47.2471E-12,45.5574E-12,44.1198E-12,42.8803E-12,41.7996E-12,40.8484E-12,6.74332E-9,3.69035E-9,2.38921E-9,1.41267E-9,724.287E-12,415.136E-12,269.623E-12,198.885E-12,163.003E-12,142.564E-12,129.167E-12,119.438E-12,111.910E-12,105.846E-12,100.827E-12,96.5903E-12,92.9574E-12,89.8038E-12,87.0378E-12,84.5904E-12,8.58851E-9,5.34346E-9,3.85018E-9,2.28844E-9,1.19489E-9,690.188E-12,449.000E-12,330.802E-12,270.520E-12,235.972E-12,213.175E-12,196.512E-12,183.543E-12,173.040E-12,164.306E-12,156.900E-12,150.526E-12,144.973E-12,140.088E-12,135.753E-12,10.1591E-9,6.91303E-9,5.43081E-9,3.22444E-9,1.71138E-9,996.636E-12,650.624E-12,479.907E-12,392.417E-12,342.000E-12,308.550E-12,283.985E-12,264.787E-12,249.186E-12,236.173E-12,225.108E-12,215.561E-12,207.226E-12,199.877E-12,193.343E-12,11.5440E-9,8.40648E-9,7.10008E-9,4.19696E-9,2.26117E-9,1.32756E-9,870.288E-12,643.307E-12,526.460E-12,458.782E-12,413.664E-12,380.404E-12,354.328E-12,333.084E-12,315.323E-12,300.191E-12,287.112E-12,275.674E-12,265.575E-12,256.584E-12
1.09648,4.37726E-9,1.93774E-9,1.08278E-9,628.330E-12,315.329E-12,179.883E-12,117.491E-12,87.5300E-12,72.4360E-12,63.8984E-12,58.3560E-12,54.3763E-12,51.3314E-12,48.9049E-12,46.9161E-12,45.2515E-12,43.8355E-12,42.6147E-12,41.5505E-12,40.6139E-12,6.66613E-9,3.64812E-9,2.36189E-9,1.39656E-9,716.094E-12,410.516E-12,266.696E-12,196.793E-12,161.343E-12,141.158E-12,127.931E-12,118.328E-12,110.900E-12,104.918E-12,99.9676E-12,95.7889E-12,92.2067E-12,89.0977E-12,86.3711E-12,83.9588E-12,8.49020E-9,5.28230E-9,3.80614E-9,2.26232E-9,1.18133E-9,682.449E-12,444.054E-12,327.238E-12,267.672E-12,233.543E-12,211.027E-12,194.575E-12,181.771E-12,171.404E-12,162.785E-12,155.477E-12,149.188E-12,143.711E-12,138.892E-12,134.617E-12,10.0428E-9,6.83390E-9,5.36868E-9,3.18762E-9,1.69193E-9,985.415E-12,643.400E-12,474.668E-12,388.209E-12,338.396E-12,305.353E-12,281.092E-12,262.134E-12,246.731E-12,233.884E-12,222.962E-12,213.540E-12,205.314E-12,198.063E-12,191.617E-12,11.4118E-9,8.31026E-9,7.01885E-9,4.14901E-9,2.23545E-9,1.31257E-9,860.575E-12,636.227E-12,520.749E-12,453.876E-12,409.302E-12,376.447E-12,350.694E-12,329.715E-12,312.177E-12,297.237E-12,284.326E-12,273.036E-12,263.068E-12,254.195E-12
1.12202,4.32715E-9,1.91556E-9,1.07040E-9,621.178E-12,311.788E-12,177.919E-12,116.263E-12,86.6650E-12,71.7605E-12,63.3344E-12,57.8670E-12,53.9427E-12,50.9412E-12,48.5499E-12,46.5904E-12,44.9506E-12,43.5558E-12,42.3535E-12,41.3055E-12,40.3833E-12,6.58983E-9,3.60636E-9,2.33487E-9,1.38063E-9,707.995E-12,405.950E-12,263.805E-12,194.727E-12,159.705E-12,139.770E-12,126.711E-12,117.234E-12,109.904E-12,104.003E-12,99.1200E-12,94.9992E-12,91.4672E-12,88.4021E-12,85.7145E-12,83.3370E-12,8.39302E-9,5.22184E-9,3.76260E-9,2.23650E-9,1.16793E-9,674.801E-12,439.168E-12,323.718E-12,264.859E-12,231.144E-12,208.907E-12,192.662E-12,180.022E-12,169.790E-12,161.284E-12,154.074E-12,147.870E-12,142.467E-12,137.714E-12,133.497E-12,9.92788E-9,6.75568E-9,5.30726E-9,3.15122E-9,1.67271E-9,974.324E-12,636.261E-12,469.493E-12,384.052E-12,334.837E-12,302.196E-12,278.235E-12,259.515E-12,244.308E-12,231.625E-12,220.845E-12,211.546E-12,203.429E-12,196.275E-12,189.915E-12,11.2812E-9,8.21515E-9,6.93855E-9,4.10162E-9,2.21002E-9,1.29776E-9,850.976E-12,629.231E-12,515.108E-12,449.030E-12,404.993E-12,372.540E-12,347.105E-12,326.388E-12,309.071E-12,294.322E-12,281.576E-12,270.432E-12,260.595E-12,251.838E-12
1.14815,4.27762E-9,1.89364E-9,1.05817E-9,614.110E-12,308.288E-12,175.977E-12,115.051E-12,85.8113E-12,71.0941E-12,62.7783E-12,57.3851E-12,53.5156E-12,50.5570E-12,48.2005E-12,46.2698E-12,44.6546E-12,43.2808E-12,42.0968E-12,41.0648E-12,40.1567E-12,6.51440E-9,3.56509E-9,2.30817E-9,1.36489E-9,699.991E-12,401.438E-12,260.949E-12,192.687E-12,158.088E-12,138.400E-12,125.508E-12,116.154E-12,108.922E-12,103.100E-12,98.2846E-12,94.2210E-12,90.7387E-12,87.7171E-12,85.0680E-12,82.7248E-12,8.29694E-9,5.16207E-9,3.71956E-9,2.21097E-9,1.15469E-9,667.241E-12,434.340E-12,320.240E-12,262.081E-12,228.776E-12,206.815E-12,190.775E-12,178.297E-12,168.198E-12,159.804E-12,152.690E-12,146.569E-12,141.240E-12,136.552E-12,132.394E-12,9.81424E-9,6.67836E-9,5.24655E-9,3.11523E-9,1.65370E-9,963.362E-12,629.206E-12,464.380E-12,379.947E-12,331.322E-12,299.079E-12,275.415E-12,256.930E-12,241.916E-12,229.397E-12,218.757E-12,209.580E-12,201.570E-12,194.511E-12,188.237E-12,11.1521E-9,8.12112E-9,6.85916E-9,4.05477E-9,2.18488E-9,1.28312E-9,841.490E-12,622.319E-12,509.534E-12,444.243E-12,400.738E-12,368.682E-12,343.562E-12,323.104E-12,306.006E-12,291.445E-12,278.863E-12,267.864E-12,258.155E-12,249.513E-12
1.17490,4.22865E-9,1.87197E-9,1.04607E-9,607.122E-12,304.829E-12,174.060E-12,113.853E-12,84.9688E-12,70.4368E-12,62.2301E-12,56.9103E-12,53.0949E-12,50.1787E-12,47.8565E-12,45.9544E-12,44.3633E-12,43.0103E-12,41.8443E-12,40.8281E-12,39.9340E-12,6.43983E-9,3.52429E-9,2.28177E-9,1.34933E-9,692.079E-12,396.979E-12,258.128E-12,190.672E-12,156.491E-12,137.048E-12,124.321E-12,115.089E-12,107.953E-12,102.211E-12,97.4614E-12,93.4544E-12,90.0211E-12,87.0425E-12,84.4314E-12,82.1221E-12,8.20197E-9,5.10299E-9,3.67701E-9,2.18574E-9,1.14159E-9,659.771E-12,429.569E-12,316.805E-12,259.337E-12,226.437E-12,204.749E-12,188.912E-12,176.595E-12,166.628E-12,158.345E-12,151.325E-12,145.287E-12,140.031E-12,135.408E-12,131.307E-12,9.70190E-9,6.60192E-9,5.18653E-9,3.07967E-9,1.63492E-9,952.528E-12,622.235E-12,459.328E-12,375.891E-12,327.850E-12,296.002E-12,272.631E-12,254.379E-12,239.556E-12,227.198E-12,216.696E-12,207.640E-12,199.737E-12,192.772E-12,186.582E-12,11.0244E-9,8.02817E-9,6.78069E-9,4.00846E-9,2.16003E-9,1.26864E-9,832.115E-12,615.488E-12,504.028E-12,439.514E-12,396.536E-12,364.872E-12,340.064E-12,319.862E-12,302.981E-12,288.606E-12,276.186E-12,265.330E-12,255.748E-12,247.221E-12
1.20226,4.18025E-9,1.85054E-9,1.03411E-9,600.215E-12,301.410E-12,172.165E-12,112.671E-12,84.1372E-12,69.7885E-12,61.6897E-12,56.4424E-12,52.6805E-12,49.8062E-12,47.5180E-12,45.6441E-12,44.0769E-12,42.7444E-12,41.5961E-12,40.5956E-12,39.7152E-12,6.36611E-9,3.48395E-9,2.25568E-9,1.33394E-9,684.259E-12,392.572E-12,255.340E-12,188.682E-12,154.915E-12,135.714E-12,123.150E-12,114.039E-12,106.999E-12,101.334E-12,96.6501E-12,92.6991E-12,89.3143E-12,86.3781E-12,83.8046E-12,81.5289E-12,8.10809E-9,5.04458E-9,3.63496E-9,2.16080E-9,1.12865E-9,652.388E-12,424.855E-12,313.411E-12,256.628E-12,224.128E-12,202.710E-12,187.074E-12,174.915E-12,165.079E-12,156.905E-12,149.980E-12,144.024E-12,138.839E-12,134.280E-12,130.236E-12,9.59084E-9,6.52636E-9,5.12720E-9,3.04450E-9,1.61635E-9,941.820E-12,615.346E-12,454.337E-12,371.885E-12,324.421E-12,292.963E-12,269.883E-12,251.860E-12,237.227E-12,225.028E-12,214.664E-12,205.726E-12,197.928E-12,191.057E-12,184.951E-12,10.8982E-9,7.93628E-9,6.70312E-9,3.96268E-9,2.13547E-9,1.25434E-9,822.850E-12,608.739E-12,498.588E-12,434.843E-12,392.385E-12,361.111E-12,336.610E-12,316.662E-12,299.995E-12,285.804E-12,273.545E-12,262.830E-12,253.374E-12,244.959E-12
1.23027,4.13240E-9,1.82937E-9,1.02229E-9,593.388E-12,298.031E-12,170.292E-12,111.504E-12,83.3166E-12,69.1491E-12,61.1569E-12,55.9813E-12,52.2724E-12,49.4395E-12,47.1848E-12,45.3388E-12,43.7951E-12,42.4828E-12,41.3522E-12,40.3670E-12,39.5002E-12,6.29324E-9,3.44407E-9,2.22988E-9,1.31874E-9,676.529E-12,388.218E-12,252.586E-12,186.717E-12,153.359E-12,134.398E-12,121.994E-12,113.004E-12,106.057E-12,100.470E-12,95.8507E-12,91.9549E-12,88.6181E-12,85.7239E-12,83.1876E-12,80.9449E-12,8.01527E-9,4.98685E-9,3.59338E-9,2.13614E-9,1.11586E-9,645.091E-12,420.197E-12,310.059E-12,253.953E-12,221.849E-12,200.697E-12,185.260E-12,173.258E-12,163.550E-12,155.485E-12,148.653E-12,142.778E-12,137.664E-12,133.168E-12,129.181E-12,9.48106E-9,6.45166E-9,5.06855E-9,3.00975E-9,1.59800E-9,931.237E-12,608.539E-12,449.405E-12,367.928E-12,321.035E-12,289.962E-12,267.170E-12,249.375E-12,234.928E-12,222.888E-12,212.658E-12,203.839E-12,196.145E-12,189.366E-12,183.343E-12,10.7735E-9,7.84544E-9,6.62643E-9,3.91742E-9,2.11120E-9,1.24020E-9,813.695E-12,602.071E-12,493.214E-12,430.230E-12,388.287E-12,357.396E-12,333.200E-12,313.504E-12,297.048E-12,283.039E-12,270.938E-12,260.363E-12,251.032E-12,242.729E-12
