VBE ,beta VCE 0.6 N 1 ,beta VCE 0.6 N 2 ,beta VCE 0.6 N 3 ,beta VCE 0.6 N 4 ,beta VCE 0.6 N 5 ,beta VCE 0.6 N 6 ,beta VCE 0.6 N 7 ,beta VCE 0.6 N 8 ,beta VCE 0.6 N 9 ,beta VCE 0.6 N 10 ,beta VCE 0.65 N 1 ,beta VCE 0.65 N 2 ,beta VCE 0.65 N 3 ,beta VCE 0.65 N 4 ,beta VCE 0.65 N 5 ,beta VCE 0.65 N 6 ,beta VCE 0.65 N 7 ,beta VCE 0.65 N 8 ,beta VCE 0.65 N 9 ,beta VCE 0.65 N 10 ,beta VCE 0.7 N 1 ,beta VCE 0.7 N 2 ,beta VCE 0.7 N 3 ,beta VCE 0.7 N 4 ,beta VCE 0.7 N 5 ,beta VCE 0.7 N 6 ,beta VCE 0.7 N 7 ,beta VCE 0.7 N 8 ,beta VCE 0.7 N 9 ,beta VCE 0.7 N 10 ,beta VCE 0.75 N 1 ,beta VCE 0.75 N 2 ,beta VCE 0.75 N 3 ,beta VCE 0.75 N 4 ,beta VCE 0.75 N 5 ,beta VCE 0.75 N 6 ,beta VCE 0.75 N 7 ,beta VCE 0.75 N 8 ,beta VCE 0.75 N 9 ,beta VCE 0.75 N 10 ,beta VCE 0.8 N 1 ,beta VCE 0.8 N 2 ,beta VCE 0.8 N 3 ,beta VCE 0.8 N 4 ,beta VCE 0.8 N 5 ,beta VCE 0.8 N 6 ,beta VCE 0.8 N 7 ,beta VCE 0.8 N 8 ,beta VCE 0.8 N 9 ,beta VCE 0.8 N 10 
0.00000,-1.00001,-1.00002,-1.00003,-1.00004,-1.00005,-1.00006,-1.00007,-1.00008,-1.00008,-1.00009,-1.00001,-1.00002,-1.00003,-1.00003,-1.00004,-1.00005,-1.00006,-1.00007,-1.00008,-1.00009,-1.00001,-1.00002,-1.00002,-1.00003,-1.00004,-1.00005,-1.00006,-1.00006,-1.00007,-1.00008,-1.00001,-1.00002,-1.00002,-1.00003,-1.00004,-1.00005,-1.00005,-1.00006,-1.00007,-1.00008,-1.00001,-1.00001,-1.00002,-1.00003,-1.00004,-1.00004,-1.00005,-1.00006,-1.00006,-1.00007
5.00000E-3,-1.00853,-1.00859,-1.00865,-1.00871,-1.00876,-1.00882,-1.00888,-1.00894,-1.00899,-1.00905,-1.00787,-1.00792,-1.00797,-1.00803,-1.00808,-1.00813,-1.00819,-1.00824,-1.00829,-1.00834,-1.00730,-1.00735,-1.00739,-1.00744,-1.00749,-1.00754,-1.00759,-1.00764,-1.00769,-1.00774,-1.00680,-1.00685,-1.00689,-1.00694,-1.00699,-1.00703,-1.00708,-1.00712,-1.00717,-1.00722,-1.00637,-1.00642,-1.00646,-1.00650,-1.00654,-1.00659,-1.00663,-1.00667,-1.00672,-1.00676
10.0000E-3,-1.01735,-1.01747,-1.01758,-1.01769,-1.01781,-1.01792,-1.01803,-1.01814,-1.01826,-1.01837,-1.01598,-1.01608,-1.01618,-1.01629,-1.01639,-1.01650,-1.01660,-1.01670,-1.01681,-1.01691,-1.01480,-1.01490,-1.01499,-1.01509,-1.01519,-1.01528,-1.01538,-1.01547,-1.01557,-1.01567,-1.01379,-1.01388,-1.01397,-1.01406,-1.01415,-1.01424,-1.01432,-1.01441,-1.01450,-1.01459,-1.01290,-1.01299,-1.01307,-1.01315,-1.01324,-1.01332,-1.01341,-1.01349,-1.01357,-1.01366
15.0000E-3,-1.02649,-1.02667,-1.02684,-1.02702,-1.02719,-1.02737,-1.02755,-1.02772,-1.02790,-1.02807,-1.02435,-1.02452,-1.02468,-1.02484,-1.02500,-1.02516,-1.02532,-1.02548,-1.02565,-1.02581,-1.02254,-1.02269,-1.02283,-1.02298,-1.02313,-1.02328,-1.02343,-1.02358,-1.02373,-1.02388,-1.02097,-1.02111,-1.02125,-1.02139,-1.02153,-1.02166,-1.02180,-1.02194,-1.02208,-1.02222,-1.01961,-1.01974,-1.01987,-1.02000,-1.02013,-1.02026,-1.02039,-1.02051,-1.02064,-1.02077
20.0000E-3,-1.03596,-1.03621,-1.03646,-1.03670,-1.03695,-1.03720,-1.03745,-1.03769,-1.03794,-1.03819,-1.03301,-1.03324,-1.03347,-1.03369,-1.03392,-1.03415,-1.03437,-1.03460,-1.03483,-1.03505,-1.03051,-1.03072,-1.03093,-1.03114,-1.03135,-1.03156,-1.03176,-1.03197,-1.03218,-1.03239,-1.02836,-1.02856,-1.02875,-1.02894,-1.02914,-1.02933,-1.02952,-1.02972,-1.02991,-1.03011,-1.02650,-1.02668,-1.02686,-1.02704,-1.02722,-1.02740,-1.02758,-1.02776,-1.02794,-1.02812
25.0000E-3,-1.04578,-1.04611,-1.04644,-1.04677,-1.04710,-1.04743,-1.04776,-1.04809,-1.04842,-1.04875,-1.04197,-1.04227,-1.04257,-1.04287,-1.04317,-1.04347,-1.04377,-1.04407,-1.04437,-1.04467,-1.03874,-1.03901,-1.03929,-1.03957,-1.03984,-1.04012,-1.04040,-1.04067,-1.04095,-1.04123,-1.03597,-1.03623,-1.03648,-1.03674,-1.03699,-1.03725,-1.03751,-1.03776,-1.03802,-1.03828,-1.03357,-1.03381,-1.03405,-1.03429,-1.03452,-1.03476,-1.03500,-1.03524,-1.03548,-1.03572
30.0000E-3,-1.05598,-1.05640,-1.05682,-1.05724,-1.05766,-1.05808,-1.05851,-1.05893,-1.05935,-1.05978,-1.05123,-1.05161,-1.05200,-1.05238,-1.05277,-1.05315,-1.05354,-1.05392,-1.05431,-1.05469,-1.04723,-1.04758,-1.04793,-1.04829,-1.04864,-1.04899,-1.04935,-1.04970,-1.05005,-1.05041,-1.04380,-1.04413,-1.04446,-1.04478,-1.04511,-1.04544,-1.04576,-1.04609,-1.04642,-1.04674,-1.04084,-1.04115,-1.04145,-1.04175,-1.04206,-1.04236,-1.04266,-1.04297,-1.04327,-1.04358
35.0000E-3,-1.06656,-1.06709,-1.06762,-1.06814,-1.06867,-1.06920,-1.06973,-1.07026,-1.07079,-1.07132,-1.06082,-1.06130,-1.06178,-1.06226,-1.06274,-1.06322,-1.06370,-1.06418,-1.06466,-1.06515,-1.05599,-1.05643,-1.05687,-1.05731,-1.05775,-1.05819,-1.05863,-1.05907,-1.05951,-1.05996,-1.05188,-1.05228,-1.05269,-1.05309,-1.05350,-1.05390,-1.05431,-1.05472,-1.05512,-1.05553,-1.04832,-1.04870,-1.04907,-1.04945,-1.04983,-1.05020,-1.05058,-1.05096,-1.05134,-1.05172
40.0000E-3,-1.07757,-1.07822,-1.07886,-1.07951,-1.08016,-1.08081,-1.08146,-1.08211,-1.08276,-1.08342,-1.07076,-1.07135,-1.07193,-1.07252,-1.07311,-1.07370,-1.07429,-1.07488,-1.07547,-1.07606,-1.06505,-1.06559,-1.06613,-1.06666,-1.06720,-1.06774,-1.06828,-1.06882,-1.06936,-1.06990,-1.06020,-1.06069,-1.06118,-1.06168,-1.06218,-1.06267,-1.06317,-1.06366,-1.06416,-1.06466,-1.05601,-1.05647,-1.05693,-1.05739,-1.05785,-1.05831,-1.05877,-1.05923,-1.05969,-1.06015
45.0000E-3,-1.08902,-1.08980,-1.09059,-1.09137,-1.09216,-1.09295,-1.09374,-1.09453,-1.09532,-1.09611,-1.08107,-1.08177,-1.08248,-1.08319,-1.08391,-1.08462,-1.08533,-1.08605,-1.08676,-1.08748,-1.07442,-1.07506,-1.07571,-1.07636,-1.07701,-1.07766,-1.07831,-1.07896,-1.07961,-1.08027,-1.06878,-1.06937,-1.06997,-1.07056,-1.07116,-1.07176,-1.07236,-1.07295,-1.07355,-1.07415,-1.06393,-1.06448,-1.06503,-1.06558,-1.06614,-1.06669,-1.06724,-1.06780,-1.06835,-1.06891
