VCE ,beta VBE 0.6 N 1 ,beta VBE 0.6 N 2 ,beta VBE 0.6 N 3 ,beta VBE 0.6 N 4 ,beta VBE 0.6 N 5 ,beta VBE 0.6 N 6 ,beta VBE 0.6 N 7 ,beta VBE 0.6 N 8 ,beta VBE 0.6 N 9 ,beta VBE 0.6 N 10 ,beta VBE 0.65 N 1 ,beta VBE 0.65 N 2 ,beta VBE 0.65 N 3 ,beta VBE 0.65 N 4 ,beta VBE 0.65 N 5 ,beta VBE 0.65 N 6 ,beta VBE 0.65 N 7 ,beta VBE 0.65 N 8 ,beta VBE 0.65 N 9 ,beta VBE 0.65 N 10 ,beta VBE 0.7 N 1 ,beta VBE 0.7 N 2 ,beta VBE 0.7 N 3 ,beta VBE 0.7 N 4 ,beta VBE 0.7 N 5 ,beta VBE 0.7 N 6 ,beta VBE 0.7 N 7 ,beta VBE 0.7 N 8 ,beta VBE 0.7 N 9 ,beta VBE 0.7 N 10 ,beta VBE 0.75 N 1 ,beta VBE 0.75 N 2 ,beta VBE 0.75 N 3 ,beta VBE 0.75 N 4 ,beta VBE 0.75 N 5 ,beta VBE 0.75 N 6 ,beta VBE 0.75 N 7 ,beta VBE 0.75 N 8 ,beta VBE 0.75 N 9 ,beta VBE 0.75 N 10 ,beta VBE 0.8 N 1 ,beta VBE 0.8 N 2 ,beta VBE 0.8 N 3 ,beta VBE 0.8 N 4 ,beta VBE 0.8 N 5 ,beta VBE 0.8 N 6 ,beta VBE 0.8 N 7 ,beta VBE 0.8 N 8 ,beta VBE 0.8 N 9 ,beta VBE 0.8 N 10 
0.00000,-985.741E-3,-985.842E-3,-985.875E-3,-985.892E-3,-985.902E-3,-985.909E-3,-985.914E-3,-985.917E-3,-985.920E-3,-985.922E-3,-986.703E-3,-986.719E-3,-986.724E-3,-986.727E-3,-986.728E-3,-986.729E-3,-986.730E-3,-986.731E-3,-986.731E-3,-986.731E-3,-985.431E-3,-985.433E-3,-985.434E-3,-985.435E-3,-985.435E-3,-985.435E-3,-985.435E-3,-985.435E-3,-985.435E-3,-985.435E-3,-977.904E-3,-977.904E-3,-977.904E-3,-977.904E-3,-977.904E-3,-977.904E-3,-977.904E-3,-977.904E-3,-977.904E-3,-977.904E-3,-956.879E-3,-956.879E-3,-956.879E-3,-956.879E-3,-956.879E-3,-956.879E-3,-956.879E-3,-956.879E-3,-956.879E-3,-956.879E-3
5.00000E-3,1.23945,1.23988,1.24002,1.24010,1.24014,1.24017,1.24019,1.24020,1.24022,1.24023,1.00172,1.00178,1.00180,1.00181,1.00181,1.00182,1.00182,1.00182,1.00182,1.00182,687.576E-3,687.583E-3,687.586E-3,687.587E-3,687.588E-3,687.588E-3,687.588E-3,687.589E-3,687.589E-3,687.589E-3,160.032E-3,160.033E-3,160.033E-3,160.033E-3,160.033E-3,160.033E-3,160.033E-3,160.033E-3,160.033E-3,160.033E-3,-416.711E-3,-416.711E-3,-416.711E-3,-416.711E-3,-416.711E-3,-416.711E-3,-416.711E-3,-416.711E-3,-416.711E-3,-416.711E-3
10.0000E-3,3.92218,3.92350,3.92394,3.92416,3.92429,3.92438,3.92444,3.92449,3.92453,3.92456,3.40663,3.40681,3.40688,3.40691,3.40692,3.40694,3.40695,3.40695,3.40696,3.40696,2.74110,2.74113,2.74114,2.74114,2.74114,2.74114,2.74115,2.74115,2.74115,2.74115,1.62033,1.62033,1.62033,1.62033,1.62033,1.62033,1.62033,1.62033,1.62033,1.62033,298.781E-3,298.781E-3,298.781E-3,298.781E-3,298.781E-3,298.781E-3,298.781E-3,298.781E-3,298.781E-3,298.781E-3
15.0000E-3,7.15151,7.15427,7.15519,7.15565,7.15592,7.15611,7.15624,7.15634,7.15641,7.15648,6.30891,6.30929,6.30942,6.30949,6.30952,6.30955,6.30957,6.30958,6.30959,6.30960,5.24609,5.24615,5.24616,5.24617,5.24618,5.24618,5.24618,5.24618,5.24618,5.24619,3.46784,3.46784,3.46785,3.46785,3.46785,3.46785,3.46785,3.46785,3.46785,3.46785,1.23120,1.23120,1.23120,1.23120,1.23120,1.23120,1.23120,1.23120,1.23120,1.23120
20.0000E-3,11.0319,11.0369,11.0385,11.0394,11.0399,11.0402,11.0404,11.0406,11.0408,11.0409,9.80384,9.80455,9.80478,9.80490,9.80497,9.80501,9.80505,9.80507,9.80509,9.80511,8.28640,8.28650,8.28653,8.28654,8.28655,8.28656,8.28656,8.28657,8.28657,8.28657,5.77789,5.77790,5.77791,5.77791,5.77791,5.77791,5.77791,5.77791,5.77791,5.77791,2.42984,2.42984,2.42984,2.42984,2.42984,2.42984,2.42984,2.42984,2.42984,2.42984
25.0000E-3,15.6847,15.6931,15.6959,15.6973,15.6982,15.6987,15.6991,15.6994,15.6997,15.6998,14.0029,14.0041,14.0045,14.0047,14.0048,14.0049,14.0049,14.0050,14.0050,14.0050,11.9605,11.9607,11.9607,11.9607,11.9607,11.9608,11.9608,11.9608,11.9608,11.9608,8.63768,8.63770,8.63770,8.63771,8.63771,8.63771,8.63771,8.63771,8.63771,8.63771,3.95277,3.95277,3.95277,3.95277,3.95277,3.95277,3.95277,3.95277,3.95277,3.95277
30.0000E-3,21.2499,21.2635,21.2680,21.2702,21.2716,21.2725,21.2731,21.2736,21.2740,21.2743,19.0353,19.0372,19.0378,19.0381,19.0383,19.0385,19.0386,19.0386,19.0387,19.0387,16.3830,16.3833,16.3834,16.3834,16.3834,16.3834,16.3835,16.3835,16.3835,16.3835,12.1476,12.1476,12.1476,12.1476,12.1476,12.1476,12.1476,12.1476,12.1476,12.1476,5.86789,5.86789,5.86789,5.86789,5.86789,5.86789,5.86789,5.86789,5.86789,5.86789
35.0000E-3,27.8868,27.9079,27.9150,27.9185,27.9207,27.9221,27.9231,27.9238,27.9244,27.9249,25.0492,25.0522,25.0532,25.0537,25.0540,25.0542,25.0543,25.0544,25.0545,25.0546,21.6861,21.6865,21.6866,21.6867,21.6867,21.6868,21.6868,21.6868,21.6868,21.6868,16.4225,16.4225,16.4225,16.4225,16.4225,16.4225,16.4225,16.4226,16.4226,16.4226,8.25395,8.25395,8.25395,8.25395,8.25395,8.25395,8.25395,8.25395,8.25395,8.25395
40.0000E-3,35.7740,35.8063,35.8171,35.8225,35.8257,35.8279,35.8294,35.8306,35.8315,35.8322,32.2123,32.2169,32.2185,32.2193,32.2197,32.2200,32.2202,32.2204,32.2205,32.2206,28.0200,28.0206,28.0208,28.0209,28.0210,28.0210,28.0211,28.0211,28.0211,28.0211,21.5924,21.5925,21.5925,21.5926,21.5926,21.5926,21.5926,21.5926,21.5926,21.5926,11.2013,11.2013,11.2013,11.2013,11.2013,11.2013,11.2013,11.2013,11.2013,11.2013
45.0000E-3,45.1083,45.1567,45.1729,45.1810,45.1858,45.1891,45.1914,45.1931,45.1945,45.1955,40.7115,40.7185,40.7208,40.7219,40.7226,40.7231,40.7234,40.7237,40.7239,40.7240,35.5531,35.5540,35.5543,35.5545,35.5546,35.5546,35.5547,35.5547,35.5548,35.5548,27.8032,27.8033,27.8033,27.8033,27.8033,27.8033,27.8034,27.8034,27.8034,27.8034,14.8126,14.8126,14.8126,14.8126,14.8126,14.8126,14.8126,14.8126,14.8126,14.8126
