freq (Hz),leafValue( getData("out" ?result "noise") "b" 8 "M" 0.25 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 8 "M" 0.5 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 8 "M" 1 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 8 "M" 2 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 8 "M" 4 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 12 "M" 0.25 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 12 "M" 0.5 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 12 "M" 1 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 12 "M" 2 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 12 "M" 4 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 16 "M" 0.25 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 16 "M" 0.5 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 16 "M" 1 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 16 "M" 2 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 16 "M" 4 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 20 "M" 0.25 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 20 "M" 0.5 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 20 "M" 1 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 20 "M" 2 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 20 "M" 4 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 24 "M" 0.25 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 24 "M" 0.5 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 24 "M" 1 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 24 "M" 2 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 24 "M" 4 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 28 "M" 0.25 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 28 "M" 0.5 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 28 "M" 1 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 28 "M" 2 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 28 "M" 4 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 32 "M" 0.25 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 32 "M" 0.5 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 32 "M" 1 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 32 "M" 2 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 32 "M" 4 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 36 "M" 0.25 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 36 "M" 0.5 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 36 "M" 1 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 36 "M" 2 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 36 "M" 4 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 40 "M" 0.25 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 40 "M" 0.5 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 40 "M" 1 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 40 "M" 2 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "b" 40 "M" 4 ) (A / sqrt(Hz))
1.00000,1.01292E-9,405.662E-12,364.505E-12,298.369E-12,294.551E-12,492.639E-12,417.556E-12,326.205E-12,293.880E-12,290.319E-12,455.305E-12,413.026E-12,321.605E-12,292.142E-12,288.516E-12,478.759E-12,385.489E-12,320.292E-12,291.349E-12,287.540E-12,511.923E-12,378.182E-12,319.714E-12,290.878E-12,286.938E-12,512.628E-12,375.828E-12,319.398E-12,290.570E-12,286.538E-12,487.082E-12,374.835E-12,319.215E-12,290.362E-12,286.257E-12,470.551E-12,374.338E-12,319.086E-12,290.206E-12,286.051E-12,462.742E-12,374.059E-12,318.995E-12,290.089E-12,285.896E-12
1.02329,1.00133E-9,401.041E-12,360.391E-12,295.060E-12,291.370E-12,487.011E-12,412.804E-12,322.528E-12,290.622E-12,287.186E-12,450.107E-12,408.329E-12,317.981E-12,288.902E-12,285.403E-12,473.293E-12,381.107E-12,316.682E-12,288.117E-12,284.437E-12,506.079E-12,373.883E-12,316.109E-12,287.651E-12,283.842E-12,506.777E-12,371.556E-12,315.797E-12,287.346E-12,283.446E-12,481.523E-12,370.575E-12,315.615E-12,287.140E-12,283.168E-12,465.182E-12,370.082E-12,315.488E-12,286.986E-12,282.964E-12,457.461E-12,369.806E-12,315.397E-12,286.870E-12,282.811E-12
1.04713,989.875E-12,396.473E-12,356.325E-12,291.791E-12,288.228E-12,481.448E-12,408.107E-12,318.895E-12,287.403E-12,284.091E-12,444.968E-12,403.686E-12,314.398E-12,285.701E-12,282.328E-12,467.890E-12,376.776E-12,313.113E-12,284.925E-12,281.372E-12,500.301E-12,369.634E-12,312.547E-12,284.463E-12,280.784E-12,500.992E-12,367.333E-12,312.238E-12,284.161E-12,280.392E-12,476.028E-12,366.363E-12,312.058E-12,283.957E-12,280.117E-12,459.874E-12,365.876E-12,311.931E-12,283.804E-12,279.915E-12,452.242E-12,365.603E-12,311.842E-12,283.689E-12,279.763E-12
1.07152,978.549E-12,391.958E-12,352.306E-12,288.560E-12,285.124E-12,475.949E-12,403.465E-12,315.303E-12,284.221E-12,281.033E-12,439.889E-12,399.096E-12,310.858E-12,282.538E-12,279.290E-12,462.549E-12,372.494E-12,309.587E-12,281.769E-12,278.344E-12,494.590E-12,365.434E-12,309.026E-12,281.312E-12,277.762E-12,495.274E-12,363.159E-12,308.720E-12,281.013E-12,277.375E-12,470.596E-12,362.200E-12,308.541E-12,280.811E-12,277.102E-12,454.627E-12,361.718E-12,308.416E-12,280.659E-12,276.902E-12,447.082E-12,361.448E-12,308.327E-12,280.545E-12,276.752E-12
1.09648,967.353E-12,387.495E-12,348.334E-12,285.368E-12,282.057E-12,470.513E-12,398.875E-12,311.754E-12,281.077E-12,278.013E-12,434.868E-12,394.560E-12,307.358E-12,279.413E-12,276.288E-12,457.269E-12,368.262E-12,306.101E-12,278.651E-12,275.353E-12,488.944E-12,361.283E-12,305.546E-12,278.199E-12,274.777E-12,489.621E-12,359.033E-12,305.243E-12,277.902E-12,274.394E-12,465.226E-12,358.085E-12,305.066E-12,277.702E-12,274.124E-12,449.440E-12,357.608E-12,304.942E-12,277.552E-12,273.926E-12,441.982E-12,357.341E-12,304.853E-12,277.439E-12,273.777E-12
1.12202,956.285E-12,383.083E-12,344.408E-12,282.213E-12,279.028E-12,465.139E-12,394.339E-12,308.246E-12,277.971E-12,275.030E-12,429.904E-12,390.075E-12,303.900E-12,276.324E-12,273.324E-12,452.050E-12,364.079E-12,302.656E-12,275.570E-12,272.399E-12,483.364E-12,357.179E-12,302.107E-12,275.123E-12,271.829E-12,484.034E-12,354.955E-12,301.807E-12,274.829E-12,271.449E-12,459.918E-12,354.017E-12,301.631E-12,274.630E-12,271.182E-12,444.313E-12,353.545E-12,301.508E-12,274.481E-12,270.987E-12,436.940E-12,353.281E-12,301.420E-12,274.369E-12,270.839E-12
1.14815,945.343E-12,378.722E-12,340.527E-12,279.096E-12,276.035E-12,459.827E-12,389.855E-12,304.778E-12,274.901E-12,272.082E-12,424.998E-12,385.643E-12,300.481E-12,273.272E-12,270.395E-12,446.891E-12,359.944E-12,299.251E-12,272.526E-12,269.480E-12,477.847E-12,353.122E-12,298.707E-12,272.082E-12,268.916E-12,478.510E-12,350.924E-12,298.410E-12,271.791E-12,268.540E-12,454.671E-12,349.996E-12,298.236E-12,271.595E-12,268.276E-12,439.245E-12,349.530E-12,298.114E-12,271.447E-12,268.083E-12,431.956E-12,349.268E-12,298.027E-12,271.336E-12,267.936E-12
1.17490,934.527E-12,374.411E-12,336.692E-12,276.016E-12,273.079E-12,454.576E-12,385.422E-12,301.351E-12,271.867E-12,269.171E-12,420.147E-12,381.261E-12,297.102E-12,270.256E-12,267.502E-12,441.791E-12,355.857E-12,295.885E-12,269.518E-12,266.597E-12,472.394E-12,349.113E-12,295.348E-12,269.078E-12,266.039E-12,473.050E-12,346.939E-12,295.053E-12,268.790E-12,265.667E-12,449.485E-12,346.022E-12,294.881E-12,268.595E-12,265.405E-12,434.235E-12,345.560E-12,294.759E-12,268.449E-12,265.214E-12,427.030E-12,345.301E-12,294.673E-12,268.339E-12,265.069E-12
1.20226,923.835E-12,370.149E-12,332.901E-12,272.972E-12,270.159E-12,449.385E-12,381.041E-12,297.964E-12,268.870E-12,266.295E-12,415.353E-12,376.930E-12,293.763E-12,267.275E-12,264.645E-12,436.749E-12,351.816E-12,292.559E-12,266.545E-12,263.749E-12,467.003E-12,345.150E-12,292.027E-12,266.110E-12,263.197E-12,467.653E-12,343.000E-12,291.735E-12,265.824E-12,262.829E-12,444.357E-12,342.093E-12,291.564E-12,265.631E-12,262.570E-12,429.283E-12,341.637E-12,291.444E-12,265.486E-12,262.380E-12,422.160E-12,341.381E-12,291.358E-12,265.377E-12,262.237E-12
1.23027,913.265E-12,365.937E-12,329.155E-12,269.964E-12,267.275E-12,444.253E-12,376.710E-12,294.617E-12,265.908E-12,263.454E-12,410.613E-12,372.649E-12,290.463E-12,264.331E-12,261.822E-12,431.766E-12,347.823E-12,289.272E-12,263.607E-12,260.936E-12,461.674E-12,341.232E-12,288.745E-12,263.177E-12,260.390E-12,462.317E-12,339.107E-12,288.456E-12,262.893E-12,260.025E-12,439.289E-12,338.210E-12,288.286E-12,262.702E-12,259.769E-12,424.387E-12,337.759E-12,288.167E-12,262.558E-12,259.581E-12,417.346E-12,337.505E-12,288.082E-12,262.450E-12,259.439E-12
1.25893,902.817E-12,361.773E-12,325.452E-12,266.992E-12,264.425E-12,439.181E-12,372.429E-12,291.308E-12,262.981E-12,260.648E-12,405.928E-12,368.417E-12,287.201E-12,261.421E-12,259.034E-12,426.839E-12,343.875E-12,286.023E-12,260.705E-12,258.157E-12,456.406E-12,337.360E-12,285.501E-12,260.278E-12,257.617E-12,457.043E-12,335.259E-12,285.215E-12,259.998E-12,257.256E-12,434.279E-12,334.372E-12,285.047E-12,259.808E-12,257.002E-12,419.548E-12,333.925E-12,284.929E-12,259.665E-12,256.816E-12,412.587E-12,333.674E-12,284.844E-12,259.558E-12,256.676E-12
