freq (Hz),output noise; A / sqrt(Hz) M 0.25  (A / sqrt(Hz)),output noise; A / sqrt(Hz) M 0.5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) M 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) M 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) M 4  (A / sqrt(Hz))
1.00000,453.818E-12,374.057E-12,320.292E-12,295.420E-12,304.376E-12
1.02329,448.639E-12,369.804E-12,316.682E-12,292.145E-12,301.081E-12
1.04713,443.519E-12,365.601E-12,313.113E-12,288.909E-12,297.825E-12
1.07152,438.459E-12,361.446E-12,309.587E-12,285.711E-12,294.609E-12
1.09648,433.456E-12,357.339E-12,306.101E-12,282.550E-12,291.432E-12
1.12202,428.511E-12,353.279E-12,302.656E-12,279.428E-12,288.294E-12
1.14815,423.623E-12,349.266E-12,299.251E-12,276.342E-12,285.193E-12
1.17490,418.791E-12,345.300E-12,295.885E-12,273.292E-12,282.130E-12
1.20226,414.014E-12,341.379E-12,292.559E-12,270.279E-12,279.104E-12
1.23027,409.292E-12,337.503E-12,289.272E-12,267.302E-12,276.116E-12
1.25893,404.625E-12,333.672E-12,286.023E-12,264.360E-12,273.163E-12
1.28825,400.011E-12,329.886E-12,282.812E-12,261.453E-12,270.247E-12
1.31826,395.450E-12,326.143E-12,279.638E-12,258.580E-12,267.366E-12
1.34896,390.942E-12,322.443E-12,276.501E-12,255.742E-12,264.521E-12
1.38038,386.485E-12,318.786E-12,273.401E-12,252.938E-12,261.710E-12
1.41254,382.079E-12,315.172E-12,270.337E-12,250.167E-12,258.934E-12
1.44544,377.725E-12,311.599E-12,267.309E-12,247.429E-12,256.192E-12
1.47911,373.420E-12,308.067E-12,264.317E-12,244.724E-12,253.484E-12
1.51356,369.165E-12,304.576E-12,261.359E-12,242.051E-12,250.810E-12
1.54882,364.959E-12,301.126E-12,258.436E-12,239.411E-12,248.168E-12
1.58489,360.801E-12,297.715E-12,255.548E-12,236.802E-12,245.559E-12
1.62181,356.691E-12,294.344E-12,252.693E-12,234.224E-12,242.982E-12
1.65959,352.628E-12,291.012E-12,249.872E-12,231.677E-12,240.437E-12
1.69824,348.612E-12,287.719E-12,247.083E-12,229.161E-12,237.924E-12
1.73780,344.642E-12,284.463E-12,244.328E-12,226.675E-12,235.443E-12
1.77828,340.718E-12,281.246E-12,241.605E-12,224.219E-12,232.992E-12
1.81970,336.839E-12,278.065E-12,238.913E-12,221.793E-12,230.571E-12
1.86209,333.005E-12,274.922E-12,236.254E-12,219.396E-12,228.182E-12
1.90546,329.214E-12,271.815E-12,233.626E-12,217.028E-12,225.822E-12
1.94984,325.468E-12,268.744E-12,231.028E-12,214.689E-12,223.491E-12
1.99526,321.764E-12,265.708E-12,228.462E-12,212.378E-12,221.190E-12
2.04174,318.103E-12,262.708E-12,225.925E-12,210.095E-12,218.918E-12
