freq (Hz),output noise; A / sqrt(Hz) b 8 M 0.25  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 8 M 0.5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 8 M 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 8 M 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 8 M 4  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 12 M 0.25  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 12 M 0.5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 12 M 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 12 M 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 12 M 4  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 16 M 0.25  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 16 M 0.5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 16 M 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 16 M 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 16 M 4  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 20 M 0.25  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 20 M 0.5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 20 M 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 20 M 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 20 M 4  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 24 M 0.25  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 24 M 0.5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 24 M 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 24 M 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 24 M 4  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 28 M 0.25  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 28 M 0.5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 28 M 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 28 M 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 28 M 4  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 32 M 0.25  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 32 M 0.5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 32 M 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 32 M 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 32 M 4  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 36 M 0.25  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 36 M 0.5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 36 M 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 36 M 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 36 M 4  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 40 M 0.25  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 40 M 0.5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 40 M 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 40 M 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 40 M 4  (A / sqrt(Hz))
1.00000,487.097E-12,413.026E-12,364.505E-12,357.325E-12,420.376E-12,456.956E-12,378.178E-12,326.205E-12,306.896E-12,332.390E-12,454.333E-12,374.833E-12,321.605E-12,298.369E-12,312.854E-12,453.768E-12,374.057E-12,320.292E-12,295.420E-12,304.376E-12,453.589E-12,373.778E-12,319.714E-12,293.880E-12,299.631E-12,453.520E-12,373.652E-12,319.398E-12,292.980E-12,296.620E-12,453.489E-12,373.585E-12,319.215E-12,292.147E-12,294.551E-12,453.473E-12,373.549E-12,319.086E-12,291.693E-12,293.049E-12,453.463E-12,373.524E-12,318.995E-12,291.354E-12,291.913E-12
1.02329,481.538E-12,408.329E-12,360.391E-12,353.341E-12,415.728E-12,451.741E-12,373.879E-12,322.528E-12,303.490E-12,328.765E-12,449.149E-12,370.572E-12,317.981E-12,295.061E-12,309.459E-12,448.590E-12,369.804E-12,316.682E-12,292.145E-12,301.081E-12,448.413E-12,369.529E-12,316.109E-12,290.622E-12,296.392E-12,448.344E-12,369.404E-12,315.797E-12,289.732E-12,293.415E-12,448.313E-12,369.337E-12,315.615E-12,288.907E-12,291.370E-12,448.297E-12,369.301E-12,315.488E-12,288.459E-12,289.886E-12,448.287E-12,369.276E-12,315.397E-12,288.123E-12,288.762E-12
1.04713,476.043E-12,403.686E-12,356.325E-12,349.403E-12,411.136E-12,446.587E-12,369.630E-12,318.895E-12,300.124E-12,325.184E-12,444.024E-12,366.361E-12,314.398E-12,291.792E-12,306.105E-12,443.471E-12,365.601E-12,313.113E-12,288.909E-12,297.825E-12,443.296E-12,365.328E-12,312.547E-12,287.403E-12,293.191E-12,443.228E-12,365.204E-12,312.238E-12,286.522E-12,290.250E-12,443.197E-12,365.138E-12,312.058E-12,285.706E-12,288.228E-12,443.181E-12,365.102E-12,311.931E-12,285.262E-12,286.760E-12,443.171E-12,365.077E-12,311.842E-12,284.930E-12,285.650E-12
1.07152,470.611E-12,399.096E-12,352.306E-12,345.512E-12,406.598E-12,441.492E-12,365.430E-12,315.303E-12,296.798E-12,321.645E-12,438.958E-12,362.197E-12,310.858E-12,288.561E-12,302.791E-12,438.411E-12,361.446E-12,309.587E-12,285.711E-12,294.609E-12,438.237E-12,361.176E-12,309.026E-12,284.221E-12,290.029E-12,438.170E-12,361.053E-12,308.720E-12,283.350E-12,287.122E-12,438.139E-12,360.987E-12,308.541E-12,282.543E-12,285.124E-12,438.123E-12,360.952E-12,308.416E-12,282.104E-12,283.673E-12,438.113E-12,360.926E-12,308.327E-12,281.775E-12,282.575E-12
1.09648,465.241E-12,394.560E-12,348.334E-12,341.667E-12,402.114E-12,436.456E-12,361.279E-12,311.754E-12,293.512E-12,318.149E-12,433.950E-12,358.082E-12,307.358E-12,285.369E-12,299.517E-12,433.409E-12,357.339E-12,306.101E-12,282.550E-12,291.432E-12,433.237E-12,357.071E-12,305.546E-12,281.077E-12,286.906E-12,433.170E-12,356.949E-12,305.243E-12,280.215E-12,284.032E-12,433.139E-12,356.884E-12,305.066E-12,279.417E-12,282.057E-12,433.123E-12,356.849E-12,304.942E-12,278.982E-12,280.623E-12,433.114E-12,356.824E-12,304.853E-12,278.657E-12,279.537E-12
1.12202,459.933E-12,390.075E-12,344.408E-12,337.867E-12,397.684E-12,431.477E-12,357.175E-12,308.246E-12,290.264E-12,314.695E-12,429.000E-12,354.015E-12,303.900E-12,282.214E-12,296.283E-12,428.464E-12,353.279E-12,302.656E-12,279.428E-12,288.294E-12,428.294E-12,353.014E-12,302.107E-12,277.971E-12,283.820E-12,428.228E-12,352.893E-12,301.807E-12,277.118E-12,280.980E-12,428.197E-12,352.829E-12,301.631E-12,276.329E-12,279.028E-12,428.181E-12,352.794E-12,301.508E-12,275.898E-12,277.610E-12,428.172E-12,352.768E-12,301.420E-12,275.576E-12,276.537E-12
1.14815,454.686E-12,385.643E-12,340.527E-12,334.111E-12,393.305E-12,426.555E-12,353.119E-12,304.778E-12,287.054E-12,311.283E-12,424.106E-12,349.994E-12,300.481E-12,279.097E-12,293.088E-12,423.576E-12,349.266E-12,299.251E-12,276.342E-12,285.193E-12,423.408E-12,349.004E-12,298.707E-12,274.901E-12,280.772E-12,423.342E-12,348.884E-12,298.410E-12,274.057E-12,277.965E-12,423.312E-12,348.820E-12,298.236E-12,273.276E-12,276.035E-12,423.296E-12,348.785E-12,298.114E-12,272.850E-12,274.633E-12,423.286E-12,348.760E-12,298.027E-12,272.531E-12,273.572E-12
1.17490,449.499E-12,381.261E-12,336.692E-12,330.400E-12,388.979E-12,421.691E-12,349.109E-12,301.351E-12,283.883E-12,307.912E-12,419.269E-12,346.019E-12,297.102E-12,276.016E-12,289.932E-12,418.745E-12,345.300E-12,295.885E-12,273.292E-12,282.130E-12,418.578E-12,345.040E-12,295.348E-12,271.867E-12,277.761E-12,418.513E-12,344.921E-12,295.053E-12,271.033E-12,274.987E-12,418.483E-12,344.857E-12,294.881E-12,270.260E-12,273.079E-12,418.466E-12,344.822E-12,294.759E-12,269.838E-12,271.693E-12,418.457E-12,344.797E-12,294.673E-12,269.523E-12,270.644E-12
1.20226,444.372E-12,376.930E-12,332.901E-12,326.733E-12,384.705E-12,416.882E-12,345.146E-12,297.964E-12,280.749E-12,304.581E-12,414.487E-12,342.091E-12,293.763E-12,272.973E-12,286.814E-12,413.969E-12,341.379E-12,292.559E-12,270.279E-12,279.104E-12,413.804E-12,341.121E-12,292.027E-12,268.870E-12,274.787E-12,413.739E-12,341.004E-12,291.735E-12,268.044E-12,272.045E-12,413.709E-12,340.940E-12,291.564E-12,267.280E-12,270.159E-12,413.693E-12,340.906E-12,291.444E-12,266.862E-12,268.789E-12,413.683E-12,340.881E-12,291.358E-12,266.550E-12,267.752E-12
1.23027,439.303E-12,372.649E-12,329.155E-12,323.109E-12,380.481E-12,412.128E-12,341.228E-12,294.617E-12,277.652E-12,301.291E-12,409.760E-12,338.208E-12,290.463E-12,269.965E-12,283.734E-12,409.247E-12,337.503E-12,289.272E-12,267.302E-12,276.116E-12,409.084E-12,337.248E-12,288.745E-12,265.908E-12,271.849E-12,409.020E-12,337.132E-12,288.456E-12,265.091E-12,269.138E-12,408.990E-12,337.069E-12,288.286E-12,264.335E-12,267.275E-12,408.974E-12,337.034E-12,288.167E-12,263.922E-12,265.920E-12,408.964E-12,337.009E-12,288.082E-12,263.613E-12,264.895E-12
